sample	collection_date	region	collection_year	country	host	other
200258	2020-08-19	22	2020	France	swine	
200259	2020-08-20	56	2020	France	swine	
200260	2020-08-20	22	2020	France	swine	
200263	2020-06-24	29	2020	France	swine	
200264	2020-08-26	29	2020	France	swine	
200265	2020-08-24	56	2020	France	swine	
200276	2020-06-29	72	2020	France	swine	
200277	2020-06-30	72	2020	France	swine	
200278	2020-06-29	22	2020	France	swine	
200279	2020-06-29	35	2020	France	swine	
200281	2020-07-12	22	2020	France	swine	
200282	2020-07-13	72	2020	France	swine	
200283	2020-07-15	22	2020	France	swine	
200284	2020-06-30	59	2020	France	swine	
200286	2020-07-02	22	2020	France	swine	
200287	2020-06-23	35	2020	France	swine	
200288	2020-06-30	22	2020	France	swine	
200267	2020-08-27	29	2020	France	swine	
200268	2020-08-28	56	2020	France	swine	
200269	2020-08-31	22	2020	France	swine	
200270	2020-08-31	35	2020	France	swine	
200271	2020-09-01	35	2020	France	swine	
200272	2020-08-31	29	2020	France	swine	
200275	2020-09-03	35	2020	France	swine	
200289	2020-09-03	53	2020	France	swine	
200290	2020-09-08	22	2020	France	swine	
200291	2020-09-09	29	2020	France	swine	
200295	2020-09-14	35	2020	France	swine	
200298	2020-09-10	35	2020	France	swine	
200299	2020-09-14	35	2020	France	swine	
200300	2020-09-17	35	2020	France	swine	
200304	2020-09-10	81	2020	France	swine	
200305	2020-09-16	72	2020	France	swine	
200314	2020-09-22	22	2020	France	swine	
200319	2020-07-10	22	2020	France	swine	
200320	2020-07-12	22	2020	France	swine	
200321	2020-07-02	22	2020	France	swine	
200322	2020-07-22	22	2020	France	swine	
200323	2020-08-02	29	2020	France	swine	
200324	2020-08-13	29	2020	France	swine	
200325	2020-08-18	22	2020	France	swine	
200326	2020-06-30	22	2020	France	swine	
200327	2020-08-18	53	2020	France	swine	
200313	2020-09-22	56	2020	France	swine	
200315	2020-09-18	22	2020	France	swine	
200317	2020-09-18	64	2020	France	swine	
200318	2020-09-28	72	2020	France	swine	
200332	2020-09-28	35	2020	France	swine	
200347	2020-10-06	56	2020	France	swine	
200396	2020-08-07	28	2020	France	swine	
200397	2020-07-23	72	2020	France	swine	
200398	2020-08-14	22	2020	France	swine	
200399	2020-06-06	56	2020	France	swine	
200400	2020-09-15	29	2020	France	swine	
200402	2020-09-16	72	2020	France	swine	
200404	2020-09-18	22	2020	France	swine	
200406	2020-09-18	22	2020	France	swine	
200407	2020-09-16	56	2020	France	swine	
200409	2020-09-23	22	2020	France	swine	
200410	2020-09-29	22	2020	France	swine	
200412	2020-09-11	22	2020	France	swine	
200413	2020-09-17	22	2020	France	swine	
200414	2020-09-24	56	2020	France	swine	
200415	2020-09-29	50	2020	France	swine	
200353	2020-10-06	49	2020	France	swine	
200358	2020-10-08	29	2020	France	swine	
200370	2020-10-15	64	2020	France	swine	
200382	2020-10-15	22	2020	France	swine	
200383	2020-10-20	29	2020	France	swine	
200384	2020-10-19	44	2020	France	swine	
200385	2020-10-21	64	2020	France	swine	
200395	2020-10-26	29	2020	France	swine	
200423	2020-10-30	44	2020	France	swine	
200424	2020-11-03	53	2020	France	swine	
200435	2020-11-09	22	2020	France	swine	
200436	2020-11-09	22	2020	France	swine	
200437	2020-11-10	35	2020	France	swine	
